Wall time,Step,Value
1687781075.8983614,10000,-1584.8609619140625
1687781163.9087877,20000,-744.6353759765625
1687781249.478768,30000,-400.8114929199219
1687781334.470563,40000,-167.6381072998047
1687781426.2193644,50000,-197.3682098388672
1687781513.755205,60000,-204.82208251953125
1687781591.5400007,70000,-22.93330955505371
1687781673.2622826,80000,-41.12797546386719
1687781758.3103225,90000,-219.13938903808594
1687781842.2515194,100000,-98.59514617919922
1687781923.9290133,110000,-43.0726432800293
1687782009.6381018,120000,-149.7610321044922
1687782090.744907,130000,-51.4398307800293
1687782172.0632875,140000,-59.4066276550293
1687782251.5786588,150000,-54.577415466308594
1687782333.2039611,160000,-146.0888214111328
1687782426.0003457,170000,-218.39303588867188
1687782513.9585776,180000,-140.45408630371094
1687782592.8746994,190000,-21.333566665649414
1687782676.2951024,200000,-112.24970245361328
1687782763.3224306,210000,-78.34638214111328
1687782851.5014215,220000,-104.82524108886719
1687782932.8919516,230000,-124.97566986083984
1687783022.6779616,240000,-251.863037109375
1687783100.4623296,250000,-22.103261947631836
1687783182.1256418,260000,-76.0633316040039
1687783261.744952,270000,-36.164466857910156
1687783349.7618177,280000,-296.7483825683594
1687783429.7891083,290000,-43.478816986083984
1687783507.0154061,300000,-23.757186889648438
1687783588.6777446,310000,-110.64631652832031
1687783670.360891,320000,-59.72368240356445
1687783754.5183434,330000,-168.54640197753906
1687783850.585725,340000,-277.305908203125
1687783933.081102,350000,-67.50115203857422
1687784014.7934072,360000,-32.06071472167969
1687784110.657754,370000,-203.76258850097656
1687784192.731798,380000,-48.352630615234375
1687784281.0847979,390000,-185.0157470703125
1687784364.268593,400000,-46.354591369628906
1687784444.5113978,410000,-31.74881362915039
1687784531.7721324,420000,-165.03578186035156
1687784615.4339523,430000,-215.08895874023438
1687784695.6199055,440000,-45.896209716796875
1687784780.5080636,450000,-104.30606842041016
1687784864.3062344,460000,-117.73319244384766
1687784946.4430754,470000,-96.6188735961914
1687785030.4844358,480000,-55.68040084838867
1687785110.266823,490000,-52.20071029663086
1687785195.1786633,500000,-59.62160110473633
